dataset_id	source_sheet	row_count	os_nonmissing_rows	os_event_nonmissing_rows	rfs_nonmissing_rows	recurrence_event_nonmissing_rows	adjuvant_nonmissing_rows	source_file
GSE26899	KUGH	93	93	93	93	93	93	41467_2018_4179_MOESM5_ESM.xlsx
GSE13861	YUHS	65	65	65	65	65	65	41467_2018_4179_MOESM5_ESM.xlsx
GSE26901	KUCM	109	109	109	109	109	109	41467_2018_4179_MOESM5_ESM.xlsx
SMC	SMC	432	432	432	432	432	432	41467_2018_4179_MOESM5_ESM.xlsx
MDACC	MDACC	40	40	40	0	0	0	41467_2018_4179_MOESM5_ESM.xlsx
ACRG	ACRG	300	300	300	300	300	0	41467_2018_4179_MOESM5_ESM.xlsx
TCGA	TCGA	262	0	0	0	0	0	41467_2018_4179_MOESM5_ESM.xlsx
