outcome	meta_model	dataset_count	pooled_hr	ci_lower	ci_upper	pooled_pvalue	cochran_q	heterogeneity_pvalue	i_squared
overall_survival	fixed_effect_inverse_variance	2	1.46588	0.720358	2.98296	0.291378	0.907297	0.340833	0
recurrence_free_survival	fixed_effect_inverse_variance	2	1.72195	0.844255	3.5121	0.13506	1.27319	0.25917	21.4569
