dataset_id	outcome	treated_counts	untreated_counts	treated_effect	untreated_effect	interaction_effect	cohort_takeaway
GSE26899	overall_survival	EP n=50, MP n=17; OS events 10 vs 9; RFS events 12 vs 10	EP n=16, MP n=10; OS events 9 vs 5; RFS events 7 vs 3	HR 3.2551 (1.38744-7.63683), P=0.00667583	HR 1.05891 (0.371939-3.0147), P=0.914612	HR 2.23076 (0.728875-6.82736), P=0.159773	stronger MP-versus-EP hazard under adjuvant exposure; interaction remained imprecise.
GSE26899	recurrence_free_survival	EP n=50, MP n=17; OS events 10 vs 9; RFS events 12 vs 10	EP n=16, MP n=10; OS events 9 vs 5; RFS events 7 vs 3	HR 3.53252 (1.57469-7.92454), P=0.00220281	HR 0.76652 (0.219125-2.68136), P=0.67728	HR 2.92751 (0.912927-9.38773), P=0.0708037	stronger MP-versus-EP hazard under adjuvant exposure; interaction remained imprecise.
GSE26901	overall_survival	EP n=22, MP n=17; OS events 10 vs 14; RFS events 10 vs 15	EP n=48, MP n=22; OS events 16 vs 15; RFS events 20 vs 15	HR 2.58618 (1.17693-5.68286), P=0.0180044	HR 2.55135 (1.29772-5.01601), P=0.00661663	HR 1.10356 (0.439872-2.76863), P=0.83369	similar adverse MP-versus-EP hazards in both adjuvant strata; near-null interaction estimate.
GSE26901	recurrence_free_survival	EP n=22, MP n=17; OS events 10 vs 14; RFS events 10 vs 15	EP n=48, MP n=22; OS events 16 vs 15; RFS events 20 vs 15	HR 2.9054 (1.31385-6.42487), P=0.00843596	HR 2.14558 (1.12177-4.10381), P=0.0210418	HR 1.25382 (0.509277-3.08688), P=0.622666	similar adverse MP-versus-EP hazards in both adjuvant strata; interaction remained imprecise.
