dataset_id	subgroup	adjuvant_chemotherapy_binary	n	overall_survival_events	recurrence_free_survival_events	median_overall_survival_months	median_recurrence_free_survival_months
GSE26899	EP	0	16	9	7	18.185	15.05
GSE26899	EP	1	50	10	12	38.6	38.35
GSE26899	MP	0	10	5	3	11.415	8.85
GSE26899	MP	1	17	9	10	15.13	7.63
GSE26901	EP	0	48	16	20	72	47.5
GSE26901	EP	1	22	10	10	55	41.5
GSE26901	MP	0	22	15	15	23.5	23
GSE26901	MP	1	17	14	15	26	26
