dataset_id	predicted_subtype	sample_count	median_assignment_margin	median_assignment_entropy	low_margin_count	shared_gene_count
GSE26899	EMT	29	0.286605	0.98925	4	15343
GSE26899	MSI	20	0.178624	0.990876	8	15343
GSE26899	MSS/TP53+	21	0.111539	0.993612	8	15343
GSE26899	MSS/TP53-	23	0.0848016	0.993308	11	15343
GSE26901	EMT	37	0.445589	0.978117	1	15339
GSE26901	MSI	16	0.0520017	0.994415	9	15339
GSE26901	MSS/TP53+	35	0.0841005	0.994818	12	15339
GSE26901	MSS/TP53-	21	0.0423313	0.988786	14	15339
