claim_id	dataset_id	outcome	model	reference_subtype	comparison_subtype	effect_type	effect	ci_lower	ci_upper	pvalue	fdr	n	events	covariates	adjuvant_stratum
C2	NatCommFamily	overall_survival	cox_pooled_dataset_adjusted_interaction	EP	MP	interaction_hazard_ratio	1.4845	0.736425	2.99251	0.269341		202	88	subgroup,adjuvant,subgroup_x_adjuvant,dataset	interaction
C2	NatCommFamily	recurrence_free_survival	cox_pooled_dataset_adjusted_interaction	EP	MP	interaction_hazard_ratio	1.75555	0.873851	3.52687	0.113851		202	92	subgroup,adjuvant,subgroup_x_adjuvant,dataset	interaction
