dataset_id	outcome	model	reference_subtype	comparison_subtype	effect_type	effect	ci_lower	ci_upper	pvalue	n	events	covariates	positive_genes_available	negative_genes_available	secondary_metric	secondary_metric_value
GSE26253	recurrence_free_survival	cox_score_unadjusted		compact_score	hazard_ratio	1.2338	1.05329	1.44524	0.00923493	432	177	compact_score	23	22	c_index	0.533305
GSE26253	recurrence_free_survival	cox_score_stage_adjusted		compact_score	hazard_ratio	1.22716	1.04386	1.44264	0.0131371	432	177	compact_score,stage	23	22	c_index	0.68372
