claim_id	dataset_id	outcome	pooled_model	pooled_effect	pooled_ci_lower	pooled_ci_upper	pooled_pvalue	pooled_n	pooled_events	meta_model	meta_dataset_count	meta_pooled_hr	meta_ci_lower	meta_ci_upper	meta_pvalue	cochran_q	heterogeneity_pvalue	i_squared
C2	NatCommFamily	overall_survival	cox_pooled_dataset_adjusted_interaction	1.4845	0.736425	2.99251	0.269341	202	88	fixed_effect_inverse_variance	2	1.46588	0.720358	2.98296	0.291378	0.907297	0.340833	0
C2	NatCommFamily	recurrence_free_survival	cox_pooled_dataset_adjusted_interaction	1.75555	0.873851	3.52687	0.113851	202	92	fixed_effect_inverse_variance	2	1.72195	0.844255	3.5121	0.13506	1.27319	0.25917	21.4569
