dataset_id	gsm_id	predicted_subtype	confidence_tier	assignment_margin	x_score	y_score	primary_axis_subtype	secondary_axis_subtype	primary_axis_score	secondary_axis_score
GSE84437	GSM2235636	EMT	high	0.52715	0.56382	-0.006039	EMT	MSS/TP53+	0.357662	-0.169488
GSE84437	GSM2235637	MSS/TP53+	low	0.0557422	-0.130334	-0.0833619	MSS/TP53+	MSI	0.0980786	0.0423364
GSE84437	GSM2235695	MSS/TP53+	low	0.0215604	-0.214224	-0.0215603	MSS/TP53+	MSS/TP53-	0.117217	0.0956567
GSE84437	GSM2235696	MSI	high	0.409827	-0.598509	0.0556374	MSI	MSS/TP53-	0.371291	-0.0385356
GSE84437	GSM2235697	MSS/TP53-	medium	0.119359	-0.243261	0.184856	MSS/TP53-	MSI	0.185819	0.0664607
GSE84437	GSM2235698	MSS/TP53-	low	0.00255549	-0.180664	0.002555	MSS/TP53-	MSS/TP53+	0.157343	0.154788
GSE84437	GSM2235699	MSS/TP53-	low	0.0190464	0.0571078	0.189897	MSS/TP53-	EMT	0.056913	0.0378666
GSE84437	GSM2235700	EMT	low	0.045168	0.0451681	0.0079421	EMT	MSI	0.033526	-0.0116421
GSE84437	GSM2235701	MSS/TP53-	medium	0.182414	-0.353994	0.31285	MSS/TP53-	MSI	0.282609	0.100196
GSE84437	GSM2235702	EMT	high	0.248267	0.338935	0.0613287	EMT	MSS/TP53-	0.197397	-0.0508703
GSE84437	GSM2235703	EMT	high	0.267814	0.269691	0.0392275	EMT	MSS/TP53-	0.182541	-0.0852725
GSE84437	GSM2235704	MSS/TP53-	low	0.0251744	0.192924	0.0251744	MSS/TP53-	MSS/TP53+	0.0896061	0.0644317
GSE84437	GSM2235705	MSS/TP53-	low	0.0398205	-0.0570576	0.03982	MSS/TP53-	MSS/TP53+	0.212323	0.172503
GSE84437	GSM2235706	MSS/TP53-	medium	0.148651	-0.315062	0.148651	MSS/TP53-	MSS/TP53+	0.243701	0.0950502
GSE84437	GSM2235707	MSI	high	0.316036	-0.530257	-0.0488423	MSI	MSS/TP53+	0.314351	-0.00168405
GSE84437	GSM2235708	MSS/TP53-	medium	0.143798	-0.211848	0.143798	MSS/TP53-	MSS/TP53+	0.208819	0.0650207
GSE84437	GSM2235709	MSS/TP53-	medium	0.151016	-0.150412	0.151016	MSS/TP53-	MSS/TP53+	0.210615	0.0595987
GSE84437	GSM2235710	EMT	low	0.00415005	0.138678	0.0654934	EMT	MSS/TP53-	0.0496727	0.0455226
GSE84437	GSM2235711	MSI	low	0.0568551	-0.360092	-0.0908363	MSI	MSS/TP53+	0.166083	0.109228
GSE84437	GSM2235712	MSS/TP53-	medium	0.12369	-0.222389	0.186603	MSS/TP53-	MSI	0.181599	0.0579088
GSE84437	GSM2235713	EMT	high	0.373143	0.490388	0.0688172	EMT	MSS/TP53-	0.28785	-0.0852928
GSE84437	GSM2235714	MSS/TP53-	medium	0.141791	-0.316058	0.141792	MSS/TP53-	MSS/TP53+	0.256287	0.114495
GSE84437	GSM2235715	MSI	high	0.274197	-0.449715	-0.16695	MSI	MSS/TP53+	0.297586	0.0233893
GSE84437	GSM2235716	MSS/TP53-	low	0.00963048	0.0634761	0.130917	MSS/TP53-	EMT	0.0436636	0.0340331
GSE84437	GSM2235717	EMT	high	0.425311	0.492876	-0.003941	EMT	MSS/TP53+	0.298728	-0.126583
GSE84437	GSM2235718	MSS/TP53+	medium	0.176636	0.0616911	-0.176637	MSS/TP53+	MSS/TP53-	0.304745	0.128108
GSE84437	GSM2235719	MSS/TP53-	high	0.25515	-0.167601	0.287205	MSS/TP53-	MSI	0.259484	0.0043343
GSE84437	GSM2235720	MSS/TP53-	high	0.231664	-0.0786158	0.237845	MSS/TP53-	MSI	0.206789	-0.0248752
GSE84437	GSM2235721	MSI	low	0.048379	-0.199188	-0.0187891	MSI	MSS/TP53+	0.0911949	0.0428158
GSE84437	GSM2235722	MSS/TP53+	medium	0.0705863	-0.128873	-0.162172	MSS/TP53+	MSI	0.124692	0.0541053
GSE84437	GSM2235723	MSS/TP53-	medium	0.18983	-0.0753656	0.18983	MSS/TP53-	MSS/TP53+	0.258008	0.0681783
GSE84437	GSM2235724	EMT	medium	0.110038	0.110038	-0.0329673	EMT	MSI	0.0935511	-0.0164871
GSE84437	GSM2235725	MSI	high	0.223833	-0.223833	-0.198132	MSI	EMT	0.257522	0.0336894
GSE84437	GSM2235726	EMT	high	0.252197	0.306191	-0.326657	EMT	MSS/TP53+	0.254878	0.00268076
GSE84437	GSM2235727	MSS/TP53+	high	0.207675	-0.162514	-0.207675	MSS/TP53+	MSS/TP53-	0.279242	0.071567
GSE84437	GSM2235728	EMT	high	0.318738	0.318738	-0.00518	EMT	MSI	0.223784	-0.0949536
GSE84437	GSM2235729	EMT	medium	0.12933	0.262735	-0.182862	EMT	MSS/TP53+	0.16308	0.0337504
GSE84437	GSM2235730	MSS/TP53-	medium	0.184549	-0.381531	0.259633	MSS/TP53-	MSI	0.285086	0.100537
GSE84437	GSM2235731	MSI	medium	0.173924	-0.654407	0.0308504	MSI	MSS/TP53-	0.29609	0.122166
GSE84437	GSM2235732	MSS/TP53-	low	0.037594	0.0481441	0.037594	MSS/TP53-	MSS/TP53+	0.0817822	0.0441882
GSE84437	GSM2235733	MSI	medium	0.124719	-0.124719	-0.118057	MSI	EMT	0.177331	0.052612
GSE84437	GSM2235734	MSS/TP53-	low	0.0265892	-0.189911	0.026589	MSS/TP53-	MSS/TP53+	0.166546	0.139957
GSE84437	GSM2235735	MSI	medium	0.078268	-0.273839	-0.0398694	MSI	MSS/TP53+	0.133085	0.0548166
GSE84437	GSM2235736	MSS/TP53-	high	0.215015	-0.135559	0.268682	MSS/TP53-	MSI	0.22087	0.00585534
GSE84437	GSM2235737	MSS/TP53+	low	0.0264707	0.053712	-0.0264707	MSS/TP53+	MSS/TP53-	0.0989105	0.0724398
GSE84437	GSM2235738	MSI	low	0.0462939	-0.425081	0.059274	MSI	MSS/TP53-	0.172854	0.12656
GSE84437	GSM2235739	MSS/TP53-	medium	0.0771074	-0.436955	0.080685	MSS/TP53-	MSI	0.210018	0.132911
GSE84437	GSM2235740	MSS/TP53+	high	0.20023	-0.290084	-0.20023	MSS/TP53+	MSS/TP53-	0.354549	0.154319
GSE84437	GSM2235741	MSS/TP53-	medium	0.194236	0.102586	0.208882	MSS/TP53-	EMT	0.180258	-0.0139784
GSE84437	GSM2235742	MSS/TP53-	medium	0.0892314	-0.17455	0.0892315	MSS/TP53-	MSS/TP53+	0.136686	0.0474545
GSE84437	GSM2235743	MSI	low	0.0421331	-0.327056	-0.0871596	MSI	MSS/TP53+	0.14826	0.106127
GSE84437	GSM2235744	MSS/TP53+	high	0.214206	0.031034	-0.214206	MSS/TP53+	MSS/TP53-	0.270969	0.0567626
GSE84437	GSM2235745	EMT	high	0.225474	0.258952	-0.0977187	EMT	MSS/TP53+	0.179529	-0.0459453
GSE84437	GSM2235746	MSS/TP53+	medium	0.165548	-0.0071045	-0.165548	MSS/TP53+	MSS/TP53-	0.18307	0.0175217
GSE84437	GSM2235747	MSI	medium	0.143022	-0.277326	-0.0209133	MSI	MSS/TP53+	0.154807	0.0117854
GSE84437	GSM2235748	EMT	medium	0.111806	0.154589	0.0399987	EMT	MSS/TP53-	0.0913579	-0.0204481
GSE84437	GSM2235749	MSS/TP53-	medium	0.162568	-0.219534	0.162568	MSS/TP53-	MSS/TP53+	0.208124	0.0455565
GSE84437	GSM2235750	MSS/TP53-	medium	0.142319	-0.158424	0.144892	MSS/TP53-	MSI	0.164635	0.0223158
GSE84437	GSM2235751	MSI	medium	0.0726728	-0.234292	0.0106449	MSI	MSS/TP53-	0.109937	0.0372637
GSE84437	GSM2235752	MSS/TP53+	high	0.282786	-0.254941	-0.338546	MSS/TP53+	MSI	0.338932	0.0561462
GSE84437	GSM2235753	MSS/TP53+	medium	0.0972219	0.151439	-0.138883	MSS/TP53+	EMT	0.132943	0.0357207
GSE84437	GSM2235754	EMT	high	0.265621	0.268248	-0.0122595	EMT	MSS/TP53+	0.177991	-0.0876302
GSE84437	GSM2235755	EMT	high	0.777723	0.864725	0.02952	EMT	MSS/TP53-	0.539225	-0.238498
GSE84437	GSM2235756	EMT	medium	0.193764	0.193764	0.0081006	EMT	MSI	0.130208	-0.0635557
GSE84437	GSM2235757	MSS/TP53-	medium	0.168346	-0.0344667	0.215524	MSS/TP53-	MSI	0.149142	-0.0192038
GSE84437	GSM2235758	MSS/TP53-	low	0.0512186	-0.197708	0.051219	MSS/TP53-	MSS/TP53+	0.166971	0.115752
GSE84437	GSM2235759	EMT	high	0.566835	0.603012	0.017262	EMT	MSS/TP53-	0.384907	-0.181927
GSE84437	GSM2235760	MSS/TP53-	high	0.298661	0.0455136	0.298661	MSS/TP53-	MSS/TP53+	0.253896	-0.0447649
GSE84437	GSM2235761	EMT	high	0.649734	0.698749	-0.041803	EMT	MSS/TP53+	0.449709	-0.200024
GSE84437	GSM2235762	MSI	medium	0.183733	-0.503709	-0.0677629	MSI	MSS/TP53+	0.258788	0.0750548
GSE84437	GSM2235763	MSS/TP53+	medium	0.109887	-0.196899	-0.1287	MSS/TP53+	MSI	0.164623	0.0547364
GSE84437	GSM2235764	MSI	low	0.0294859	-0.374243	0.0818529	MSI	MSS/TP53-	0.152477	0.122991
GSE84437	GSM2235765	EMT	medium	0.148829	0.382529	-0.00574526	EMT	MSS/TP53+	0.162906	0.0140769
GSE84437	GSM2235766	MSS/TP53-	high	0.275743	-0.262527	0.275743	MSS/TP53-	MSS/TP53+	0.303235	0.0274917
GSE84437	GSM2235767	EMT	high	0.820894	0.886731	0.067469	EMT	MSS/TP53-	0.567712	-0.253182
GSE84437	GSM2235768	MSI	low	0.00977985	-0.00978	-0.292634	MSI	EMT	0.125947	0.116167
GSE84437	GSM2235769	MSS/TP53-	high	0.224895	-0.240241	0.267215	MSS/TP53-	MSI	0.26265	0.0377548
GSE84437	GSM2235770	MSS/TP53+	low	0.024142	-0.0309559	-0.0537977	MSS/TP53+	MSI	0.0377645	0.0136225
GSE84437	GSM2235771	EMT	medium	0.109175	0.129182	-0.0699518	EMT	MSS/TP53+	0.0931257	-0.0160489
GSE84437	GSM2235772	EMT	medium	0.0883717	0.0883721	-0.0627467	EMT	MSI	0.118542	0.0301699
GSE84437	GSM2235773	EMT	medium	0.074535	0.074535	-0.0314315	EMT	MSI	0.0811785	0.0066435
GSE84437	GSM2235774	MSS/TP53+	low	0.025084	0.0248645	-0.025084	MSS/TP53+	MSS/TP53-	0.0517551	0.0266711
GSE84437	GSM2235775	EMT	low	0.063675	0.173434	-0.0100054	EMT	MSS/TP53+	0.0740876	0.0104125
GSE84437	GSM2235776	EMT	medium	0.135051	0.207978	-0.0329821	EMT	MSS/TP53+	0.11615	-0.0189013
GSE84437	GSM2235777	MSI	low	0.0225028	-0.0225028	-0.0936269	MSI	EMT	0.0768804	0.0543776
GSE84437	GSM2235778	MSS/TP53-	low	0.0402763	-0.363112	0.122816	MSS/TP53-	MSI	0.168544	0.128268
GSE84437	GSM2235779	MSI	high	0.398924	-0.622374	-0.0783307	MSI	MSS/TP53+	0.384488	-0.0144357
GSE84437	GSM2235780	MSS/TP53+	low	0.0569757	-0.218884	-0.209697	MSS/TP53+	MSI	0.158024	0.101048
GSE84437	GSM2235781	MSS/TP53-	high	0.221619	-0.0632942	0.221619	MSS/TP53-	MSS/TP53+	0.239792	0.0181734
GSE84437	GSM2235782	EMT	medium	0.0907589	0.0907589	0.0548692	EMT	MSI	0.0907631	4.16734e-06
GSE84437	GSM2235783	EMT	low	0.0315968	0.358979	-0.0677844	EMT	MSS/TP53+	0.125632	0.0940353
GSE84437	GSM2235784	MSI	high	0.284535	-0.619046	-0.141146	MSI	MSS/TP53+	0.353773	0.0692378
GSE84437	GSM2235785	MSI	high	0.29915	-0.432199	-0.193723	MSI	MSS/TP53+	0.307254	0.00810434
GSE84437	GSM2235786	EMT	high	0.627817	0.781663	-0.064116	EMT	MSS/TP53+	0.469034	-0.158783
GSE84437	GSM2235787	EMT	medium	0.172412	0.289312	-0.0077911	EMT	MSS/TP53+	0.146959	-0.0254522
GSE84437	GSM2235788	MSI	medium	0.133818	-0.268856	-0.10479	MSI	MSS/TP53+	0.16749	0.0336727
GSE84437	GSM2235789	MSI	medium	0.180231	-0.318584	-0.134956	MSI	MSS/TP53+	0.209241	0.0290094
GSE84437	GSM2235790	MSS/TP53+	low	0.0476302	-0.0069107	-0.0476307	MSS/TP53+	MSS/TP53-	0.11144	0.0638093
GSE84437	GSM2235791	EMT	high	0.537412	0.537412	-0.078503	EMT	MSI	0.372288	-0.165124
GSE84437	GSM2235792	MSI	medium	0.0866815	-0.0866815	-0.0982767	MSI	EMT	0.0898384	0.0031569
GSE84437	GSM2235793	EMT	high	0.733258	0.733259	-0.008405	EMT	MSI	0.499763	-0.233496
GSE84437	GSM2235794	EMT	low	0.00455337	0.0402619	0.108151	EMT	MSS/TP53-	0.0295891	0.0250357
GSE84437	GSM2235795	MSS/TP53-	low	0.0518887	-0.0237752	0.12474	MSS/TP53-	MSI	0.0595639	0.00767524
GSE84437	GSM2235796	EMT	high	0.409213	0.409212	-0.044896	EMT	MSI	0.293647	-0.115565
GSE84437	GSM2235797	MSI	high	0.274841	-0.531261	-0.0237688	MSI	MSS/TP53+	0.293172	0.0183319
GSE84437	GSM2235798	MSS/TP53-	low	0.00783834	-0.520661	0.149929	MSS/TP53-	MSI	0.206836	0.198998
GSE84437	GSM2235799	MSI	low	0.0330727	-0.466193	0.0734983	MSI	MSS/TP53-	0.184103	0.15103
GSE84437	GSM2235800	EMT	high	0.371263	0.584557	-0.159135	EMT	MSS/TP53+	0.338411	-0.0328518
GSE84437	GSM2235801	MSS/TP53+	medium	0.0903344	0.313814	-0.268392	MSS/TP53+	EMT	0.202575	0.112241
GSE84437	GSM2235802	MSI	high	0.293087	-0.349466	-0.0684293	MSI	MSS/TP53+	0.247976	-0.0451107
GSE84437	GSM2235803	MSI	high	0.224952	-0.418951	0.0377974	MSI	MSS/TP53-	0.23596	0.0110083
GSE84437	GSM2235804	EMT	high	0.2004	0.399882	-0.0439228	EMT	MSS/TP53+	0.196138	-0.00426133
GSE84437	GSM2235805	EMT	high	0.443026	0.461749	0.018914	EMT	MSS/TP53-	0.299071	-0.143956
GSE84437	GSM2235806	MSS/TP53+	low	0.0599248	-0.104282	-0.059925	MSS/TP53+	MSS/TP53-	0.164191	0.104266
GSE84437	GSM2235807	MSI	low	0.0374875	-0.237696	-0.0073657	MSI	MSS/TP53+	0.0976245	0.060137
GSE84437	GSM2235808	MSS/TP53+	medium	0.0974431	-0.119911	-0.168848	MSS/TP53+	MSI	0.13969	0.042247
GSE84437	GSM2235809	MSI	low	0.0421667	-0.102753	-0.149487	MSI	MSS/TP53+	0.085517	0.0433502
GSE84437	GSM2235810	MSI	high	0.391944	-0.740491	-0.0435929	MSI	MSS/TP53+	0.41442	0.022476
GSE84437	GSM2235811	MSI	medium	0.151398	-0.151397	-0.0546787	MSI	EMT	0.132786	-0.0186112
GSE84437	GSM2235812	MSS/TP53-	low	0.0604967	-0.309459	0.106883	MSS/TP53-	MSI	0.160114	0.0996177
GSE84437	GSM2235813	MSS/TP53-	low	0.0459052	-0.0822944	0.045905	MSS/TP53-	MSS/TP53+	0.160027	0.114122
GSE84437	GSM2235814	EMT	low	0.0155962	0.0400016	-0.100128	EMT	MSS/TP53+	0.0397374	0.0241412
GSE84437	GSM2235815	MSS/TP53-	low	0.0559464	-0.340826	0.226566	MSS/TP53-	MSI	0.186713	0.130767
GSE84437	GSM2235816	MSI	low	0.0112732	-0.186513	-0.153904	MSI	MSS/TP53+	0.10341	0.0921364
GSE84437	GSM2235817	MSS/TP53-	low	0.0656404	-0.191099	0.0656405	MSS/TP53-	MSS/TP53+	0.123612	0.0579715
GSE84437	GSM2235818	MSI	high	0.428286	-0.581763	-0.135492	MSI	MSS/TP53+	0.394851	-0.0334346
GSE84437	GSM2235819	MSS/TP53-	medium	0.0872808	-0.214921	0.209826	MSS/TP53-	MSI	0.160215	0.0729345
GSE84437	GSM2235820	EMT	high	0.367934	0.525946	-0.095459	EMT	MSS/TP53+	0.306608	-0.061326
GSE84437	GSM2235821	MSI	medium	0.172353	-0.340064	-0.0817009	MSI	MSS/TP53+	0.201447	0.0290942
GSE84437	GSM2235822	MSS/TP53-	high	0.211829	-0.202444	0.249226	MSS/TP53-	MSI	0.238827	0.0269977
GSE84437	GSM2235823	EMT	high	0.577245	0.746341	-0.10573	EMT	MSS/TP53+	0.449467	-0.127778
GSE84437	GSM2235824	EMT	high	0.806148	0.917735	-0.037503	EMT	MSS/TP53+	0.568564	-0.237584
GSE84437	GSM2235825	EMT	high	0.323727	0.400422	0.113846	EMT	MSS/TP53-	0.251327	-0.0724004
GSE84437	GSM2235826	MSS/TP53-	low	0.00689424	-0.214686	0.149621	MSS/TP53-	MSI	0.101217	0.0943226
GSE84437	GSM2235827	EMT	high	0.799726	0.890468	-0.003483	EMT	MSS/TP53+	0.550896	-0.24883
GSE84437	GSM2235828	MSI	low	0.0375535	-0.037554	-0.178387	MSI	EMT	0.163642	0.126088
GSE84437	GSM2235829	MSI	high	0.26173	-0.54763	-0.101532	MSI	MSS/TP53+	0.311486	0.0497562
GSE84437	GSM2235830	MSS/TP53-	low	0.047484	-0.215111	0.0474842	MSS/TP53-	MSS/TP53+	0.113269	0.0657848
GSE84437	GSM2235831	MSS/TP53-	low	0.0671931	-0.171859	0.067193	MSS/TP53-	MSS/TP53+	0.171834	0.104641
GSE84437	GSM2235837	EMT	low	0.0385976	0.0654653	0.0153549	EMT	MSS/TP53-	0.035084	-0.00351358
GSE84437	GSM2235838	EMT	medium	0.136612	0.226517	0.0349747	EMT	MSS/TP53-	0.119741	-0.016871
GSE84437	GSM2235839	MSI	low	0.0568393	-0.10307	-0.0100052	MSI	MSS/TP53+	0.0594576	0.00261837
GSE84437	GSM2235840	MSS/TP53-	medium	0.0986966	-0.0388524	0.11816	MSS/TP53-	MSI	0.0925592	-0.00613745
GSE84437	GSM2235841	MSS/TP53+	low	0.0192094	0.0466806	-0.0192094	MSS/TP53+	MSS/TP53-	0.0332907	0.0140813
GSE84437	GSM2235842	MSS/TP53-	medium	0.151487	-0.0729388	0.196223	MSS/TP53-	MSI	0.148947	-0.00253996
