dataset_id	gsm_id	predicted_subtype	confidence_tier	assignment_margin	x_score	y_score	primary_axis_subtype	secondary_axis_subtype	primary_axis_score	secondary_axis_score
GSE84437	GSM2235556	MSS/TP53-	medium	0.177855	0.141058	0.177856	MSS/TP53-	MSS/TP53+	0.216542	0.0386863
GSE84437	GSM2235557	EMT	medium	0.0971378	0.278887	-0.0625679	EMT	MSS/TP53+	0.127715	0.0305776
GSE84437	GSM2235558	EMT	medium	0.157102	0.31218	0.0025976	EMT	MSS/TP53-	0.14596	-0.0111428
GSE84437	GSM2235559	MSS/TP53+	low	0.0228461	0.200161	-0.0231676	MSS/TP53+	EMT	0.0740347	0.0511886
GSE84437	GSM2235560	EMT	high	0.409294	0.514068	-0.110123	EMT	MSS/TP53+	0.322577	-0.0867171
GSE84437	GSM2235561	EMT	high	0.273897	0.286571	0.002391	EMT	MSS/TP53-	0.183749	-0.0901477
GSE84437	GSM2235562	MSS/TP53-	medium	0.157264	-0.164925	0.157264	MSS/TP53-	MSS/TP53+	0.180699	0.0234352
GSE84437	GSM2235563	MSS/TP53-	medium	0.134813	-0.123477	0.198863	MSS/TP53-	MSI	0.156423	0.0216105
GSE84437	GSM2235564	MSS/TP53-	medium	0.191174	-0.268099	0.27504	MSS/TP53-	MSI	0.252646	0.0614723
GSE84437	GSM2235565	EMT	high	0.651968	0.717496	0.058548	EMT	MSS/TP53-	0.455276	-0.196692
GSE84437	GSM2235566	EMT	low	0.0371793	0.22412	0.0713236	EMT	MSS/TP53-	0.0865931	0.0494138
GSE84437	GSM2235567	EMT	high	0.271842	0.375817	-0.0342335	EMT	MSS/TP53+	0.21477	-0.0570724
GSE84437	GSM2235568	MSS/TP53-	medium	0.181908	-0.069303	0.181907	MSS/TP53-	MSS/TP53+	0.196785	0.0148776
GSE84437	GSM2235569	MSS/TP53-	medium	0.0854926	-0.406795	0.188309	MSS/TP53-	MSI	0.2216	0.136107
GSE84437	GSM2235570	MSS/TP53-	low	0.0398531	0.159227	0.0780988	MSS/TP53-	EMT	0.0802169	0.0403638
GSE84437	GSM2235571	MSS/TP53-	medium	0.108368	-0.185184	0.108368	MSS/TP53-	MSS/TP53+	0.171084	0.0627159
GSE84437	GSM2235572	EMT	high	0.352458	0.453235	-0.11579	EMT	MSS/TP53+	0.285443	-0.0670148
GSE84437	GSM2235573	EMT	medium	0.0928746	0.253266	-0.0345637	EMT	MSS/TP53+	0.112697	0.0198224
GSE84437	GSM2235574	EMT	low	0.0262393	0.149216	0.137925	EMT	MSS/TP53-	0.0723083	0.046069
GSE84437	GSM2235575	MSS/TP53-	medium	0.152382	-0.038551	0.152382	MSS/TP53-	MSS/TP53+	0.180842	0.0284599
GSE84437	GSM2235576	MSI	medium	0.0853993	-0.167655	-0.0778174	MSI	MSS/TP53+	0.108037	0.0226381
GSE84437	GSM2235577	EMT	high	0.449121	0.461645	-0.048097	EMT	MSS/TP53+	0.3094	-0.139721
GSE84437	GSM2235578	MSS/TP53-	medium	0.0840551	-0.0602305	0.108172	MSS/TP53-	MSI	0.0893158	0.00526066
GSE84437	GSM2235579	EMT	medium	0.157855	0.157855	-0.025463	EMT	MSI	0.153843	-0.00401218
GSE84437	GSM2235580	EMT	high	0.334795	0.396491	-0.0837552	EMT	MSS/TP53+	0.255863	-0.0789318
GSE84437	GSM2235582	MSS/TP53-	low	0.0287288	0.0914543	0.028729	MSS/TP53-	MSS/TP53+	0.100025	0.071296
GSE84437	GSM2235584	MSS/TP53+	low	0.0207007	0.0047406	-0.020701	MSS/TP53+	MSS/TP53-	0.140086	0.119385
GSE84437	GSM2235585	MSS/TP53+	low	0.000951646	0.0538787	-0.122314	MSS/TP53+	EMT	0.0431877	0.0422361
GSE84437	GSM2235586	EMT	high	0.365397	0.397228	-0.231755	EMT	MSS/TP53+	0.301547	-0.0638505
GSE84437	GSM2235587	EMT	low	0.0156272	0.134711	0.0491149	EMT	MSS/TP53-	0.0504422	0.034815
GSE84437	GSM2235588	EMT	high	0.401593	0.522209	0.0609651	EMT	MSS/TP53-	0.306236	-0.0953569
GSE84437	GSM2235589	MSI	low	0.0547646	-0.197581	0.0757225	MSI	MSS/TP53-	0.100604	0.0458395
GSE84437	GSM2235593	MSI	medium	0.175563	-0.381369	0.0271835	MSI	MSS/TP53-	0.20246	0.0268972
GSE84437	GSM2235595	EMT	high	0.238556	0.422528	-0.0829397	EMT	MSS/TP53+	0.22586	-0.0126956
GSE84437	GSM2235596	EMT	low	0.0294457	0.247082	0.0591452	EMT	MSS/TP53-	0.0880007	0.058555
GSE84437	GSM2235597	MSI	low	0.022852	-0.407325	0.130633	MSI	MSS/TP53-	0.16888	0.146028
GSE84437	GSM2235598	EMT	high	0.280462	0.454436	-0.128594	EMT	MSS/TP53+	0.261064	-0.0193983
GSE84437	GSM2235599	MSS/TP53-	low	0.0621779	0.0333699	0.0621778	MSS/TP53-	MSS/TP53+	0.102248	0.0400702
GSE84437	GSM2235600	EMT	high	0.232925	0.232925	0.0482613	EMT	MSI	0.161113	-0.071812
GSE84437	GSM2235601	EMT	high	0.368519	0.445348	-0.011853	EMT	MSS/TP53+	0.265757	-0.102762
GSE84437	GSM2235602	EMT	high	0.444726	0.583226	-0.100141	EMT	MSS/TP53+	0.352788	-0.0919383
GSE84437	GSM2235603	MSS/TP53-	medium	0.165665	-0.0481821	0.165664	MSS/TP53-	MSS/TP53+	0.175208	0.00954361
GSE84437	GSM2235604	MSS/TP53-	low	0.0253786	-0.159774	0.0533798	MSS/TP53-	MSI	0.0787773	0.0533987
GSE84437	GSM2235605	EMT	high	0.249387	0.340117	-0.0291721	EMT	MSS/TP53+	0.195248	-0.0541389
GSE84437	GSM2235606	EMT	high	0.503426	0.642786	-0.090061	EMT	MSS/TP53+	0.389283	-0.114143
GSE84437	GSM2235607	EMT	medium	0.12428	0.124281	-0.0149597	EMT	MSI	0.109886	-0.0143945
GSE84437	GSM2235608	MSS/TP53-	low	0.0188484	-0.424371	0.186085	MSS/TP53-	MSI	0.186213	0.167364
GSE84437	GSM2235609	EMT	high	0.387475	0.494076	-0.144238	EMT	MSS/TP53+	0.316521	-0.0709543
GSE84437	GSM2235610	EMT	high	0.648515	0.66249	-0.016421	EMT	MSS/TP53+	0.433551	-0.214964
GSE84437	GSM2235611	MSS/TP53+	low	0.0106342	-0.0076165	-0.010634	MSS/TP53+	MSS/TP53-	0.110943	0.100309
GSE84437	GSM2235612	EMT	high	0.57993	0.647224	0.037266	EMT	MSS/TP53-	0.405124	-0.174806
GSE84437	GSM2235613	MSS/TP53-	medium	0.166748	-0.331511	0.27166	MSS/TP53-	MSI	0.258825	0.0920769
GSE84437	GSM2235614	MSI	low	0.0458952	-0.214519	-0.217199	MSI	MSS/TP53+	0.140734	0.094839
GSE84437	GSM2235615	EMT	low	0.0645052	0.249068	0.0925738	EMT	MSS/TP53-	0.107203	0.0426978
GSE84437	GSM2235616	MSS/TP53+	low	0.00583053	0.0123911	-0.0058305	MSS/TP53+	MSS/TP53-	0.0536459	0.0478154
GSE84437	GSM2235617	MSI	medium	0.130031	-0.311959	-0.0903511	MSI	MSS/TP53+	0.177536	0.0475047
GSE84437	GSM2235618	MSS/TP53+	low	0.0613813	-0.230011	-0.113934	MSS/TP53+	MSI	0.142726	0.0813443
GSE84437	GSM2235619	MSS/TP53-	low	0.049841	0.0390731	0.049841	MSS/TP53-	MSS/TP53+	0.0565471	0.00670607
GSE84437	GSM2235620	MSS/TP53-	low	0.0289329	-0.0203322	0.0289328	MSS/TP53-	MSS/TP53+	0.0797849	0.0508521
GSE84437	GSM2235621	MSS/TP53-	low	0.0517243	0.00019496	0.10906	MSS/TP53-	EMT	0.0489157	-0.00280858
GSE84437	GSM2235622	EMT	high	0.512987	0.570407	0.017976	EMT	MSS/TP53-	0.35545	-0.157537
GSE84437	GSM2235623	MSI	medium	0.164187	-0.326807	-0.0273848	MSI	MSS/TP53+	0.181382	0.0171958
GSE84437	GSM2235624	MSS/TP53-	low	0.0341249	-0.318906	0.260443	MSS/TP53-	MSI	0.17102	0.136895
GSE84437	GSM2235625	EMT	high	0.500805	0.517034	-0.088005	EMT	MSS/TP53+	0.353459	-0.147345
GSE84437	GSM2235626	EMT	high	0.504211	0.504211	-0.09752	EMT	MSI	0.36173	-0.142481
GSE84437	GSM2235627	MSS/TP53-	medium	0.0711502	0.0327907	0.090912	MSS/TP53-	EMT	0.0669645	-0.00418571
GSE84437	GSM2235628	EMT	high	0.459344	0.459344	0.003515	EMT	MSI	0.334692	-0.124652
GSE84437	GSM2235629	EMT	high	0.367262	0.391037	-0.032152	EMT	MSS/TP53+	0.255067	-0.112194
GSE84437	GSM2235630	EMT	high	0.567156	0.659448	-0.017031	EMT	MSS/TP53+	0.40164	-0.165516
GSE84437	GSM2235631	EMT	high	0.320724	0.476854	-0.196177	EMT	MSS/TP53+	0.298044	-0.0226805
GSE84437	GSM2235632	MSI	low	0.0270957	-0.0682626	-0.0746697	MSI	MSS/TP53+	0.0508428	0.0237471
GSE84437	GSM2235633	EMT	high	0.600063	0.600063	-0.01437	EMT	MSI	0.436379	-0.163684
GSE84437	GSM2235634	MSS/TP53+	low	0.0685146	-0.0536733	-0.111414	MSS/TP53+	MSI	0.0860404	0.0175258
GSE84437	GSM2235635	MSI	low	0.0411533	-0.242082	-0.0073153	MSI	MSS/TP53+	0.100525	0.0593713
