dataset_id	gsm_id	sample_title	predicted_subtype	assignment_score	runner_up_subtype	runner_up_score	assignment_margin	assignment_margin_rank	assignment_entropy	score_emt	score_msi	score_mss_tp53_minus	score_mss_tp53_plus	shared_gene_count
GSE26899	GSM662374	Gastric tumor tissue KG004C	EMT	0.383845	MSS/TP53+	-0.169881	0.553726	high	0.973184	0.383845	-0.211464	-0.208279	-0.169881	15343
GSE26899	GSM662376	Gastric tumor tissue KG009C	MSS/TP53-	0.325708	MSI	0.194323	0.131384	medium	0.977866	-0.37343	0.194323	0.325708	0.00505029	15343
GSE26899	GSM662378	Gastric tumor tissue KG013C	EMT	0.0900239	MSS/TP53-	0.0182634	0.0717605	low	0.998145	0.0900239	-0.0958473	0.0182634	-0.0569922	15343
GSE26899	GSM662382	Gastric tumor tissue KG018C	MSI	0.280216	MSS/TP53-	0.0498346	0.230381	high	0.987453	-0.22239	0.280216	0.0498346	-0.0744258	15343
GSE26899	GSM662386	Gastric tumor tissue KG001C	MSS/TP53+	0.186757	MSS/TP53-	0.0985392	0.0882182	medium	0.993275	0.00102642	-0.190047	0.0985392	0.186757	15343
GSE26899	GSM662389	Gastric tumor tissue KG005C	EMT	0.153227	MSS/TP53-	0.0831628	0.0700638	low	0.992057	0.153227	-0.255118	0.0831628	-0.0119445	15343
GSE26899	GSM662390	Gastric tumor tissue KG006C	MSI	0.417233	MSS/TP53-	0.00534464	0.411888	high	0.974001	-0.30135	0.417233	0.00534464	-0.0756109	15343
GSE26899	GSM662394	Gastric tumor tissue KG015C	MSS/TP53+	0.252157	MSS/TP53-	0.102426	0.149731	medium	0.990616	-0.205111	0.0283855	0.102426	0.252157	15343
GSE26899	GSM662395	Gastric tumor tissue KG019C	EMT	0.180512	MSS/TP53+	-0.0765882	0.2571	high	0.994517	0.180512	-0.111811	-0.0853919	-0.0765882	15343
GSE26899	GSM662396	Gastric tumor tissue KG020C	MSI	0.0806856	MSS/TP53-	0.0192845	0.0614012	low	0.998806	-0.0490237	0.0806856	0.0192845	-0.0617307	15343
GSE26899	GSM662397	Gastric tumor tissue KG023C	MSI	0.160209	MSS/TP53-	0.131312	0.0288965	low	0.992354	-0.226848	0.160209	0.131312	0.0265594	15343
GSE26899	GSM662398	Gastric tumor tissue KG027C	EMT	0.45639	MSS/TP53+	-0.180826	0.637216	high	0.961233	0.45639	-0.237412	-0.278884	-0.180826	15343
