dataset_id	gsm_id	sample_title	predicted_subtype	assignment_score	runner_up_subtype	runner_up_score	assignment_margin	assignment_margin_rank	assignment_entropy	score_emt	score_msi	score_mss_tp53_minus	score_mss_tp53_plus	shared_gene_count
GSE84437	GSM2235770	Y3412T	MSS/TP53+	0.0377645	MSI	0.0136225	0.024142	low	0.999811	-0.0173334	0.0136225	-0.0160332	0.0377645	15335
GSE84437	GSM2235771	Y2582T	EMT	0.0931257	MSS/TP53+	-0.0160489	0.109175	medium	0.998416	0.0931257	-0.0360565	-0.0860007	-0.0160489	15335
GSE84437	GSM2235772	Y2245T	EMT	0.118542	MSI	0.0301699	0.0883717	medium	0.995992	0.118542	0.0301699	-0.152946	-0.0901993	15335
GSE84437	GSM2235773	Y2252T	EMT	0.0811785	MSI	0.0066435	0.074535	medium	0.998422	0.0811785	0.0066435	-0.0900779	-0.0586464	15335
GSE84437	GSM2235774	Y2449T	MSS/TP53+	0.0517551	MSS/TP53-	0.0266711	0.025084	low	0.99958	-0.0119254	-0.0367899	0.0266711	0.0517551	15335
GSE84437	GSM2235775	Y3746T	EMT	0.0740876	MSS/TP53+	0.0104125	0.063675	low	0.998636	0.0740876	-0.0993459	0.000407133	0.0104125	15335
GSE84437	GSM2235776	Y3679T	EMT	0.11615	MSS/TP53+	-0.0189013	0.135051	medium	0.99771	0.11615	-0.0918277	-0.0518834	-0.0189013	15335
GSE84437	GSM2235777	Y3316T	MSI	0.0768804	EMT	0.0543776	0.0225028	low	0.997336	0.0543776	0.0768804	-0.141354	-0.0477271	15335
GSE84437	GSM2235778	Y3988T	MSS/TP53-	0.168544	MSI	0.128268	0.0402763	low	0.991935	-0.234844	0.128268	0.168544	0.0457276	15335
GSE84437	GSM2235779	Y4009T	MSI	0.384488	MSS/TP53+	-0.0144357	0.398924	high	0.978938	-0.237886	0.384488	-0.0927664	-0.0144357	15335
GSE84437	GSM2235780	Y4046T	MSS/TP53+	0.158024	MSI	0.101048	0.0569757	low	0.99555	-0.117836	0.101048	-0.0516727	0.158024	15335
GSE84437	GSM2235781	Y4053T	MSS/TP53-	0.239792	MSS/TP53+	0.0181734	0.221619	high	0.992885	-0.12135	-0.0580558	0.239792	0.0181734	15335
GSE84437	GSM2235782	Y4063T	EMT	0.0907631	MSI	4.16734e-06	0.0907589	medium	0.997901	0.0907631	4.16734e-06	-0.0588938	-0.113763	15335
GSE84437	GSM2235783	Y4064T	EMT	0.125632	MSS/TP53+	0.0940353	0.0315968	low	0.993472	0.125632	-0.233347	0.0262509	0.0940353	15335
GSE84437	GSM2235784	Y4074T	MSI	0.353773	MSS/TP53+	0.0692378	0.284535	high	0.981184	-0.265273	0.353773	-0.0719085	0.0692378	15335
GSE84437	GSM2235785	Y4083T	MSI	0.307254	MSS/TP53+	0.00810434	0.29915	high	0.985908	-0.124945	0.307254	-0.185619	0.00810434	15335
GSE84437	GSM2235786	Y4444T	EMT	0.469034	MSS/TP53+	-0.158783	0.627817	high	0.959469	0.469034	-0.312629	-0.222899	-0.158783	15335
GSE84437	GSM2235787	Y2849T	EMT	0.146959	MSS/TP53+	-0.0254522	0.172412	medium	0.996025	0.146959	-0.142353	-0.0332433	-0.0254522	15335
GSE84437	GSM2235788	Y3903T	MSI	0.16749	MSS/TP53+	0.0336727	0.133818	medium	0.995877	-0.101366	0.16749	-0.0711169	0.0336727	15335
